#period	period time	calc time
1	4241	1505
2	4244	1243
3	986	1514
4	3267	1743
5	4238	1757
6	4490	1996
7	3995	1500
8	4259	1749
9	4247	1497
10	4256	1498
11	4241	1485
12	4250	1244
13	4230	1764
14	4255	1504
15	4258	1497
16	3990	1504
17	4251	1750
18	4246	1999
19	4497	1500
20	3991	1497
21	4249	1257
22	4252	1503
23	4492	1505
24	4004	1499
25	4245	1751
26	4243	1505
27	4250	1743
28	4251	1499
29	3996	1501
30	4242	1754
31	4245	1512
32	4501	1501
33	3996	1509
34	4249	1753
35	4257	1492
36	4243	1500
37	4242	1505
38	4246	1256
39	3999	1757
40	4245	1758
41	4498	1503
42	3988	1520
43	4260	1250
44	4243	1754
45	4497	1510
46	3998	1505
47	4250	1503
48	4243	1504
49	4254	1497
50	4239	1508
51	3999	1500
52	4246	1497
53	4255	1744
54	4496	1245
55	3991	1499
56	4246	1501
57	4258	1496
58	3992	1998
59	4492	1500
60	4253	1494
61	3995	1497
62	4242	1500
63	4248	1758
64	4241	1508
65	4257	1497
66	3992	1250
67	4255	1496
68	4240	1505
69	4248	1500
70	4247	1749
71	4254	1490
72	4248	1751
73	4243	1504
74	4242	1260
75	4000	1257
76	4245	1503
77	4246	1749
78	4255	1491
79	4248	1491
80	3991	1499
81	4246	1503
82	4254	1743
83	4243	1497
84	4244	1498
85	4253	1746
86	4494	1503
87	4244	1250
88	3996	1499
89	4255	1743
90	4247	1502
91	4240	1756
92	4248	1507
93	3990	1519
94	4256	1755
95	4244	1504
96	4500	1495
97	3998	1505
98	4245	1743
99	4246	1499
100	4246	1491
101	4254	1500
102	3991	1501
103	4253	1748
104	4241	1505
105	4247	1754
106	4247	1504
107	4252	1500
108	4250	1749
109	4240	1504
110	4244	1509
111	3997	1506
112	4257	1742
113	4238	1499
114	4504	1495
115	4250	1243
116	4239	1499
117	4002	2004
118	4493	1505
119	4002	1494
120	4241	1249
121	4254	1498
122	4485	1512
123	4002	1505
124	4250	1757
125	3999	1747
126	4250	1744
127	4491	1499
128	3996	1507
129	4248	1742
130	4243	1498
131	4242	1769
132	4264	1499
133	3994	1505
134	4241	1757
135	4249	1510
136	4497	1499
137	4008	1495
138	4236	1505
139	4258	1492
140	4243	1493
141	4236	1497
142	3992	1501
143	4265	1745
144	4232	1515
145	4496	1515
146	4261	1239
147	3986	1503
148	4255	1742
149	3986	1752
150	4496	1503
151	3999	1510
152	4265	1500
153	4238	1763
154	4503	1493
155	4240	1500
156	4006	1246
157	4245	1501
158	4248	1489
159	4246	1494
160	4243	1511
161	4245	1506
162	4256	1747
163	4238	1505
164	4254	1243
165	4238	1508
166	4254	1497
167	4244	1499
168	4245	1504
169	4252	1756
170	3993	1754
171	4505	1500
172	4239	1507
173	4240	1765
174	4495	1749
175	4003	1501
176	4262	1491
177	4246	1494
178	4236	1504
179	4256	1497
180	4243	1491
181	3994	1498
182	4246	1500
183	4293	1458
184	4200	1517
185	4247	1505
186	4255	1749
187	3995	1736
188	4237	1760
189	4254	1500
190	4249	1502
191	4245	1499
192	4008	1745
193	4484	1759
194	4256	1494
195	3996	1495
196	4235	1498
197	4247	1749
198	4502	1493
199	4006	1490
200	4248	1740
201	4235	1503
202	4259	1738
203	4232	1515
204	4262	1498
205	4236	1759
206	4250	1506
207	4244	1503
208	3997	1507
209	4242	1761
210	4258	1500
211	4505	1499
212	4242	1500
213	4002	1496
214	4235	1760
215	4499	1259
216	3998	1495
217	4257	1497
218	4238	1511
219	4501	1501
220	3992	1512
221	4247	1758
222	4247	1500
223	4501	1243
224	4251	1501
225	4246	1493
226	4238	1756
227	4248	1506
228	4250	1503
229	3997	1503
230	4252	1747
231	4500	1500
232	3982	1515
233	4253	1757
234	4249	1502
235	4497	1504
236	4000	1501
237	4245	1503
238	4251	1746
239	3988	1759
240	4499	1508
241	4248	1255
242	3996	1504
243	4256	1747
244	4492	1502
245	4233	1268
246	4267	1497
247	4243	1745
248	4244	1504
249	4245	1261
250	4249	1511
251	4248	1504
252	4238	1518
253	4005	1504
254	4252	1756
255	4244	1756
256	4508	1499
257	4240	1501
258	4252	1497
259	4488	1494
260	4007	1498
261	4242	1500
262	4251	1496
263	3996	1741
264	4500	1497
265	4238	1255
266	3997	1505
267	4253	1500
268	4239	1498
269	4248	1502
270	4248	1503
271	3996	1741
272	4253	1747
273	4501	1747
274	3980	1518
275	4261	1504
276	4249	1498
277	4233	1501
278	4245	1500
279	4247	1269
280	4006	1755
281	4255	1754
282	4488	1506
283	4257	1499
284	3993	1251
285	4250	1748
286	4245	1504
287	4240	1502
288	4249	1508
289	4005	1230
290	4247	1753
291	4240	1503
292	4494	1502
293	4007	1495
294	4244	1497
295	4242	1499
296	4255	1494
297	4245	1502
298	3994	1502
299	4244	1757
300	4256	1503
301	4239	1501
302	4495	1500
303	3988	1773
304	4265	1744
305	4491	1245
306	4008	1485
307	4232	1999
308	4258	1493
309	4491	1510
310	3993	1504
311	4250	1251
312	4244	1501
313	4505	1496
314	3995	1498
315	4246	1248
316	4251	1495
317	3996	1736
318	4499	1495
319	3989	1503
320	4250	1274
321	4252	1495
322	4491	1500
323	4004	1494
324	4246	1236
325	4248	1744
326	4497	1495
327	3996	1497
328	4242	1509
329	4247	1507
330	4498	1505
331	3997	1503
332	4249	1754
333	3998	1751
334	4245	1754
335	4498	1506
336	3997	1506
337	4251	1753
338	4244	1504
339	4505	1501
340	3990	1507
341	3997	1506
342	4247	1755
343	4253	1500
344	4495	1502
345	3993	1504
346	4238	1276
347	4258	1507
348	4001	1750
349	4491	1505
350	4247	1250
351	4004	1751
352	4236	1757
353	4505	1491
354	4253	1246
355	3987	1499
356	4246	1759
357	4248	1503
358	4246	1500
359	4247	1249
360	4256	1498
361	4000	1998
362	4487	1504
363	4254	1499
364	3994	1504
365	4243	1506
366	4247	1509
367	4246	1508
368	4258	1497
369	3991	1251
370	4251	1744
371	4244	1503
372	4244	1505
373	4247	1502
374	4251	1501
375	3984	2018
376	4505	1511
377	4249	1504
378	4250	1503
379	3995	1754
380	4502	1503
381	4246	1502
382	3993	1490
383	4257	1500
384	4241	1500
385	4493	1260
386	3998	1500
387	4256	1744
388	3995	1743
389	4495	1734
390	4251	1244
391	3994	1242
392	4240	1502
393	4255	1494
394	4243	1498
395	4244	1500
396	3998	1508
397	4254	1500
398	4240	1500
399	4497	1497
400	4003	1498
401	4246	1747
402	4242	1499
403	4253	1495
404	4253	1246
405	3989	1498
406	4244	1760
407	4250	1508
408	4496	1506
409	3996	1505
410	4001	1503
411	4245	1755
412	4251	1494
413	4491	1499
414	4003	1491
415	4241	1749
416	4242	1500
417	4259	1500
418	4491	1495
419	3999	1747
420	4250	1996
421	4495	1498
422	3993	1501
423	4253	1499
424	4244	1498
425	4251	1733
426	4252	1486
427	3989	1497
428	4246	1749
429	4251	1746
430	4498	1495
431	3995	1497
432	4245	1748
433	4249	1502
434	4498	1497
435	3993	1500
436	3997	1501
437	4254	1495
438	4245	1497
439	4492	1500
440	3990	1512
441	4261	1746
442	4242	2252
443	4248	1501
444	4246	1503
445	4247	1501
446	4246	1750
447	4005	1734
448	4496	1496
449	3991	1500
450	4255	1493
451	4244	1749
452	4492	1499
453	4246	1247
454	3999	1243
455	4259	1491
456	4235	1500
457	4248	1499
458	4253	1499
459	4242	1503
460	4253	1742
461	4243	1503
462	4250	1252
463	3990	1262
464	4249	1507
465	4247	1758
466	4245	1504
467	4255	1499
468	4247	1503
469	4249	1497
470	4245	1500
471	4246	1252
472	4243	1757
473	3997	1759
474	4498	1507
