#period	period time	calc time
1	2988	1501
2	4000	1498
3	3997	1496
4	3989	1498
5	4752	1513
6	3748	1505
7	3999	2250
8	4248	1499
9	4246	1502
10	4246	1502
11	4000	1498
12	3996	1499
13	4247	1250
14	4247	1499
15	3996	2002
16	3998	1500
17	4248	1498
18	4495	1252
19	3746	1500
20	4248	1500
21	4743	1501
22	3752	1247
23	4245	1496
24	3997	1498
25	4249	1499
26	4247	1750
27	3998	1499
28	4002	1497
29	4242	1498
30	4244	1502
31	4000	1499
32	4745	1500
33	3748	1500
34	4247	1250
35	3997	1500
36	4249	1498
37	3995	2003
38	4248	1500
39	4248	1498
40	4743	1252
41	3500	1495
42	3998	1249
43	4246	1503
44	3999	1499
45	4246	1750
46	4245	1502
47	3999	1502
48	4250	1248
49	3996	1497
50	4246	1501
51	4747	1500
52	3747	1500
53	3998	1500
54	4246	1502
55	4000	1498
56	4246	2003
57	4246	1502
58	4249	1499
59	4248	1498
60	3746	1503
61	4248	1500
62	4246	1495
63	3995	1500
64	4250	1498
65	4744	1500
66	3750	1501
67	4247	1495
68	3997	1500
69	4247	1500
70	4247	1751
71	3995	1502
72	4249	1500
73	4248	1499
74	3997	1499
75	4246	1500
76	4497	1749
77	3997	1500
78	4248	1499
79	3995	1500
80	4247	1501
81	4248	2000
82	3997	1500
83	4248	1500
84	3996	1500
85	4247	1502
86	3998	1500
87	4496	1500
88	3997	1499
89	3997	1502
90	4251	1496
91	3995	1498
92	4245	1500
93	4497	1500
94	3999	1499
95	4247	1500
96	3996	1500
97	4250	1500
98	3995	2003
99	4246	1501
100	4249	1500
101	4744	1501
102	3748	1501
103	3997	1500
104	4246	1503
105	4250	1496
106	4246	2248
107	3996	1501
108	4247	1496
109	4494	1499
110	3755	1497
111	4245	1500
112	4248	1495
113	3996	1499
114	3997	1750
115	4248	1498
116	3998	1498
117	4994	1500
118	3498	1499
119	3998	1499
120	4247	1500
121	4246	1501
122	3998	2000
123	4245	1502
124	4248	1500
125	4246	1502
126	3994	1503
127	4002	1496
128	4745	1501
129	3744	1501
130	4002	1497
131	4495	1502
132	3748	1501
133	4248	1499
134	4251	1498
135	3995	1249
136	4245	1500
137	4746	1251
138	3750	1499
139	4249	1248
140	3994	1501
141	4247	1500
142	3998	1750
143	4248	1499
144	4247	1500
145	4995	1501
146	3999	1503
147	3745	1502
148	4249	1501
149	3998	1501
150	3998	1746
151	4241	1256
152	4003	1750
153	4994	1502
154	3752	1497
155	3995	1500
156	4247	1250
157	3997	1250
158	4248	1999
159	3997	1500
160	4497	1500
161	4247	1751
162	3998	1500
163	4247	1500
164	3997	1500
165	4248	1501
166	4247	2000
167	3997	1499
168	4246	1502
169	4250	1496
170	3991	1504
