#signal	response time
0	803
1	924
2	933
3	927
4	1735
5	1919
6	932
7	927
8	1184
9	1922
10	1430
11	677
12	928
13	930
14	677
15	1923
16	1927
17	935
18	930
19	1181
20	928
21	928
22	1679
23	1927
24	927
25	929
26	1183
27	1677
28	925
29	1180
30	1434
31	924
32	670
33	2185
34	934
35	678
36	1675
37	1925
38	918
39	935
40	1676
41	1926
42	926
43	924
44	1678
45	1670
46	933
47	675
48	1922
49	2174
50	929
51	675
52	1664
53	1437
54	688
55	1158
56	1671
57	1424
58	682
59	1679
60	1915
61	2187
62	919
63	919
64	1674
65	1927
66	1426
67	675
68	1677
69	1928
70	929
71	919
72	936
73	929
74	926
75	1182
76	928
77	926
78	1164
79	934
80	661
81	1936
82	1177
83	674
84	1178
85	1930
86	908
87	684
88	1928
89	1925
90	924
91	930
92	1174
93	927
94	677
95	1676
96	926
97	928
98	1187
99	2166
100	1176
101	674
102	1678
103	2171
104	2424
105	1921
106	1429
107	668
108	1206
109	917
110	921
111	1421
112	1926
113	932
114	680
115	1975
116	1431
117	1170
118	930
119	1679
120	1929
121	925
122	923
123	1187
124	1916
125	926
126	927
127	1174
128	1180
129	673
130	1680
131	1173
132	676
133	928
134	1924
135	1425
136	682
137	927
138	925
139	926
140	1677
141	1926
142	923
143	928
144	1187
145	1913
146	1182
147	673
148	1678
149	1925
150	925
151	925
152	1184
153	1172
154	674
155	1181
156	1919
157	1428
158	928
159	1173
160	1927
161	1426
162	677
163	1677
164	1924
165	1175
166	675
167	1173
168	1680
169	916
170	930
171	1172
172	923
173	923
174	1425
175	2172
176	936
